name	output_shape	class
nasnet_mobile/separable_conv_1_bn_reduction_right3_reduce_4	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_reduction_left4_reduce_4	None	BatchNormalization
nasnet_mobile/reduction_pad_1_reduce_4	None	ZeroPadding2D
nasnet_mobile/separable_conv_2_reduction_right2_reduce_4	None	SeparableConv2D
nasnet_mobile/activation_78	None	Activation
nasnet_mobile/activation_80	None	Activation
nasnet_mobile/reduction_left2_reduce_4	None	MaxPooling2D
nasnet_mobile/separable_conv_2_bn_reduction_right2_reduce_4	None	BatchNormalization
nasnet_mobile/separable_conv_2_reduction_right3_reduce_4	None	SeparableConv2D
nasnet_mobile/separable_conv_2_reduction_left4_reduce_4	None	SeparableConv2D
nasnet_mobile/adjust_relu_1_5	None	Activation
nasnet_mobile/reduction_add_2_reduce_4	None	Add
nasnet_mobile/reduction_left3_reduce_4	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_reduction_right3_reduce_4	None	BatchNormalization
nasnet_mobile/reduction_left4_reduce_4	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_reduction_left4_reduce_4	None	BatchNormalization
nasnet_mobile/reduction_right5_reduce_4	None	MaxPooling2D
nasnet_mobile/zero_padding2d_2	None	ZeroPadding2D
nasnet_mobile/reduction_add3_reduce_4	None	Add
nasnet_mobile/add_2	None	Add
nasnet_mobile/reduction_add4_reduce_4	None	Add
nasnet_mobile/cropping2d_2	None	Cropping2D
nasnet_mobile/reduction_concat_reduce_4	None	Concatenate
nasnet_mobile/adjust_avg_pool_1_5	None	AveragePooling2D
nasnet_mobile/adjust_avg_pool_2_5	None	AveragePooling2D
nasnet_mobile/adjust_conv_1_5	None	Conv2D
nasnet_mobile/adjust_conv_2_5	None	Conv2D
nasnet_mobile/activation_81	None	Activation
nasnet_mobile/concatenate_2	None	Concatenate
nasnet_mobile/normal_conv_1_5	None	Conv2D
nasnet_mobile/adjust_bn_5	None	BatchNormalization
nasnet_mobile/normal_bn_1_5	None	BatchNormalization
nasnet_mobile/activation_82	None	Activation
nasnet_mobile/activation_84	None	Activation
nasnet_mobile/activation_86	None	Activation
nasnet_mobile/activation_88	None	Activation
nasnet_mobile/activation_90	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_5	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_5	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_5	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right2_5	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left5_5	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_normal_left1_5	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right1_5	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left2_5	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_right2_5	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_normal_left5_5	None	BatchNormalization
nasnet_mobile/activation_83	None	Activation
nasnet_mobile/activation_85	None	Activation
nasnet_mobile/activation_87	None	Activation
nasnet_mobile/activation_89	None	Activation
nasnet_mobile/activation_91	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_5	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_5	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_5	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_5	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_5	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_5	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_5	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_5	None	BatchNormalization
